縣市,鄉鎮市區,鄉鎮市區人口密度(人/平方公里),年底人口數,土地面積
南投縣,南投市,1343.94103,96229,71.6021
南投縣,埔里鎮,466.1061615,75613,162.2227
南投縣,草屯鎮,939.3584902,97724,104.0327
南投縣,竹山鎮,201.7717749,49905,247.3339
南投縣,集集鎮,198.725838,9882,49.7268
南投縣,名間鄉,415.8708955,34557,83.0955
南投縣,鹿谷鄉,108.9091397,15454,141.8981
南投縣,中寮鄉,87.45067475,12825,146.6541
南投縣,魚池鄉,116.1538557,14098,121.3735
南投縣,國姓鄉,90.8515562,15963,175.7042
南投縣,水里鄉,144.6242316,15452,106.8424
南投縣,信義鄉,10.46527225,14886,1422.4188
南投縣,仁愛鄉,12.00834342,15293,1273.5312
雲林縣,斗六市,1163.419769,109030,93.7151
雲林縣,斗南鎮,899.7206675,43322,48.1505
雲林縣,虎尾鎮,1037.924413,71349,68.742
雲林縣,西螺鎮,883.0587267,43975,49.7985
雲林縣,土庫鎮,555.5555556,27234,49.0212
雲林縣,北港鎮,892.8455249,37053,41.4999
雲林縣,古坑鄉,175.2218859,29193,166.6059
雲林縣,大埤鄉,389.3789183,17521,44.9973
雲林縣,莿桐鄉,534.9241498,27201,50.8502
雲林縣,林內鄉,433.0713896,16285,37.6035
雲林縣,二崙鄉,405.7082896,24165,59.5625
雲林縣,崙背鄉,380.5314274,22255,58.484
雲林縣,麥寮鄉,608.9179062,48815,80.1668
雲林縣,東勢鄉,266.4601437,12885,48.3562
雲林縣,褒忠鄉,310.0779378,11490,37.0552
雲林縣,臺西鄉,384.0786125,20778,54.0983
雲林縣,元長鄉,313.9946806,22478,71.5872
雲林縣,四湖鄉,262.0628666,20210,77.1189
雲林縣,口湖鄉,297.5968541,23945,80.4612
雲林縣,水林鄉,298.8697638,21805,72.9582
嘉義縣,太保市,596.7884669,39923,66.8964
嘉義縣,朴子市,805.8708549,39950,49.5737
嘉義縣,布袋鎮,382.1275314,23589,61.7307
嘉義縣,大林鎮,460.397436,29542,64.1663
嘉義縣,民雄鄉,815.4213779,69716,85.4969
嘉義縣,溪口鄉,381.4042722,12604,33.0463
嘉義縣,新港鄉,439.1554819,29006,66.0495
嘉義縣,六腳鄉,321.9304262,20044,62.2619
嘉義縣,東石鄉,265.6342507,21671,81.5821
嘉義縣,義竹鄉,199.6279598,15829,79.2925
嘉義縣,鹿草鄉,247.8132232,13460,54.3151
嘉義縣,水上鄉,678.9950202,46932,69.1198
嘉義縣,中埔鄉,321.795252,41673,129.5016
嘉義縣,竹崎鄉,198.2424476,32160,162.2256
嘉義縣,梅山鄉,143.4319969,17177,119.7571
嘉義縣,番路鄉,90.03896129,10582,117.5269
嘉義縣,大埔鄉,24.01193208,4160,173.2472
嘉義縣,阿里山鄉,12.0673951,5163,427.8471
屏東縣,屏東市,2942.59763,191466,65.067
屏東縣,潮州鎮,1266.063521,53723,42.4331
屏東縣,東港鎮,1557.146978,45879,29.4635
屏東縣,恆春鎮,210.3639142,28770,136.763
屏東縣,萬丹鄉,845.4458924,48586,57.4679
屏東縣,長治鄉,731.8840398,29192,39.8861
屏東縣,麟洛鄉,639.9753998,10406,16.26
屏東縣,九如鄉,509.7730296,21420,42.0187
屏東縣,里港鄉,361.9807083,24948,68.9208
屏東縣,鹽埔鄉,359.0715051,23106,64.3493
屏東縣,高樹鄉,243.3107567,21935,90.1522
屏東縣,萬巒鄉,307.1552654,18654,60.7315
屏東縣,內埔鄉,644.5512452,52760,81.8554
屏東縣,竹田鄉,528.4248036,15363,29.0732
屏東縣,新埤鄉,152.2279199,8983,59.0102
屏東縣,枋寮鄉,386.6132499,22321,57.7347
屏東縣,新園鄉,827.5190612,31703,38.3109
屏東縣,崁頂鄉,462.4527041,14459,31.2659
屏東縣,林邊鄉,1012.654177,15821,15.6233
屏東縣,南州鄉,506.0622035,9600,18.97
屏東縣,佳冬鄉,559.0914079,17323,30.9842
